因子名称,IC均值_P1,Rank_IC均值_P1,ICIR_P1,Group1平均收益_P1,Group2平均收益_P1,Group3平均收益_P1,Group4平均收益_P1,Group5平均收益_P1,多空收益_P1,Sharpe_Ratio_P1,最大回撤_P1,累积收益率_P1,IC均值_P2,Rank_IC均值_P2,ICIR_P2,Group1平均收益_P2,Group2平均收益_P2,Group3平均收益_P2,Group4平均收益_P2,Group5平均收益_P2,多空收益_P2,Sharpe_Ratio_P2,最大回撤_P2,累积收益率_P2
momentum_accel_reversal_12_6_48,0.0232644708991597,0.0289932846077263,0.1049529122270893,-7.01313188391809e-05,-2.9845766248435392e-05,2.0902904082118703e-05,2.4953610634980792e-05,0.0001120774352699,0.0001822087541091,24.079506935459328,-0.1720701290334381,114.20173512267934,0.0184407125393791,0.023077435778484,0.0772277771317071,9.017545500966032e-05,0.0001438883597437,0.0001761397780094,0.0001656601423069,0.000277517546967,0.0001873420919574,14.468232253362016,-0.7322388552590066,112.16438658559493
momentum_asymaccel_24,0.0329661391310217,0.0400184750285582,0.1598791120011578,-0.000112849605433,-3.437768096852517e-05,-2.7448252980246326e-06,6.615740139370255e-05,0.000153554251999,0.000266403857432,37.374850650254864,-0.1105662617539988,1074.1774468766123,0.019249468474158,0.0244136871147451,0.0851812617198417,8.408936062089162e-05,0.0001413156771117,0.0001619289742547,0.0001870967476383,0.0002819996024297,0.0001979102418088,16.07031905773866,-0.2333646608396864,152.41544178680758
momentum_cross_dev_12,-0.0315146029211891,-0.0402336270363624,-0.1396458983660672,0.0001359714614116,5.662819746832184e-05,2.9112267222293228e-05,-3.4702766559724e-05,-0.0001101948643338,0.0002461663257455,30.48575552869874,-0.2492967781447782,617.2317228774011,-0.0181019193003244,-0.0265412479394679,-0.0759224617942666,0.0002500126094771,0.0001846918481977,0.0001903832860372,0.0001585974434751,7.92320515096727e-05,0.0001707805579674,13.20680104169248,-0.771293359013294,72.81321473812352
momentum_directional_pressure_12_48,-0.0146790475090963,-0.0230762645909477,-0.0672744793757977,6.265815151084885e-05,3.297832714803872e-05,-4.421725047170951e-06,-8.313338440989441e-06,-2.4460627820025595e-05,8.711877933087448e-05,11.470794573694084,-0.6097212742375304,9.237565203679948,-0.0184610833820263,-0.0258256614850237,-0.078280333295782,0.0002897151434851,0.0001906864471533,0.0001376162850733,9.90227071951036e-05,0.0001290453440499,0.0001606697994351,12.201855706384084,-0.6080004800655092,54.97853579245774
momentum_dispersion_18_72,-0.0249119573100287,-0.0420836881575454,-0.0981709463633592,0.0001125567041339,3.78983149872348e-05,-1.6299500710910635e-05,-3.338864913461997e-05,-3.510451932863263e-05,0.0001476612234625,16.23151879832041,-0.636169743242214,43.95741272760468,-0.0254783933830356,-0.0425531884045963,-0.093157628719749,0.0002656351255841,0.0001540782832225,0.0001457511048083,0.0001284287855888,0.0001566344548553,0.0001090006707288,7.372003671301155,-0.859700871264257,13.114368569021934
momentum_emadistancereversion_20,0.010076498718769,0.014640387678977,0.0477119963814177,3.685336254701689e-06,-2.8195092178634883e-05,1.0045563121529626e-05,4.4811593693496425e-05,3.82475957002792e-05,3.4562259445577515e-05,4.717531719760078,-0.589234955588149,2.318186744820992,0.0154340973911622,0.0175785982504284,0.0676703004230066,0.0001380038617589,0.0001373637503418,0.0001343473452618,0.000171003586331,0.000273553662322,0.000135549800563,10.79253601454197,-0.6061443176948141,29.09554941612251
momentum_intraday_range_12_48,-0.0149149640575509,-0.0181374491688585,-0.0773061812689183,5.615167655994168e-05,1.8584289230185233e-05,3.1076124455753326e-05,6.432397337802013e-06,-3.913195587266436e-05,9.528363243260608e-05,13.801108960245822,-0.3863389670862241,11.65151069343484,-0.0157093386352938,-0.0191691882861819,-0.072145542335501,0.0002613073194514,0.0001579983815486,0.0001793015000556,0.000124742013877,0.0001295456686853,0.0001317616507661,10.93812737188987,-0.6034346086030747,26.712533425832916
momentum_osrs_24,0.0297779692230059,0.0374217888615514,0.1415721353050184,-6.715632499547902e-05,-4.257366826779988e-05,2.667961535609312e-06,2.2553794195575904e-05,0.0001479515698379,0.0002151078948334,29.041123467883327,-0.2984640577286137,274.8201452890884,0.0234876179148823,0.0293772525640074,0.1055587670118223,0.0001269125583127,0.0001352523635699,0.0001388791698079,0.0001567460543013,0.0002902692332166,0.0001633566749038,13.15469125458039,-0.783270194921582,60.84480115154637
momentum_path_efficiency_24_96,-0.0142813472660195,-0.0210874213259119,-0.0646905538302273,6.361769877539857e-05,3.487464059062884e-05,-1.3089562658884358e-05,-7.074867302178229e-06,-2.3506446717720946e-06,6.596834344717068e-05,8.599866129729545,-0.7565925712839312,5.256208559765654,-0.0155920973945237,-0.0223389740455687,-0.0652760018595922,0.0002523781951526,0.0001686222178114,0.0001332540063431,0.0001489262736795,0.0001512118844791,0.0001011663106734,7.712925167994924,-0.852312902172931,11.373182375257068
momentum_pme_3_48,0.0145094501594028,0.0209196635196408,0.0665206384672074,-3.6463237135516755e-05,-1.4958403365683038e-05,1.3855566315455897e-05,2.6653961981180306e-05,7.085692372741479e-05,0.0001073201608629,14.27154082868224,-0.3956198352001769,15.780531996252131,0.0166708345975204,0.0179318845653546,0.0730076568689505,8.883021967275049e-05,0.0001709765516634,0.0001670741798726,0.0001807430435441,0.0002513845133571,0.0001625542936844,13.18765741301258,-0.6970832773079216,59.52242127573506
